id,layer,recommended,alternates,reasoning
01,framework,Next.js 15 (App Router),Next.js 14 | Pages Router,"App Router default for new projects 2024+"
02,routing,Next.js file-based,—,"App Router built-in; no swap"
03,state,Zustand,Jotai | Redux Toolkit,"Same as React; Zustand wins for simplicity"
04,server-state,TanStack Query,SWR | Server Actions only,"Server Components reduce need; TanStack Query for client-side mutations"
05,forms,React Hook Form,Server Actions + native,"RHF for client interactivity; SA for progressive enhancement"
06,validation,Zod,Yup | Valibot,"Zod for both server actions + RHF; canonical 2024+"
07,styling,Tailwind CSS + cva,CSS Modules | styled-components (RSC issues),"Tailwind RSC-compatible; styled-components needs work"
08,components,shadcn/ui,Radix primitives | Park UI,"shadcn copies-into-repo; works with App Router out-of-box"
09,db-orm,Drizzle,Prisma | Kysely | raw SQL,"Drizzle TS-first; edge-compatible; Prisma for richer ecosystem"
10,auth,NextAuth.js v5,Clerk | Lucia | better-auth,"NextAuth canonical; Clerk for hosted; Lucia for custom"
11,testing,Vitest + Playwright,Jest + Cypress,"Vitest for unit; Playwright for E2E"
12,deployment,Vercel,AWS Amplify | self-host (Docker),"Vercel native; self-host adds complexity but avoids vendor lock"
