id,layer,recommended,alternates,reasoning
01,routing,React Router 6,TanStack Router | Wouter,"Default for SPAs; TanStack adds type-safety; Wouter is minimal"
02,state,Zustand,Jotai | Redux Toolkit | Context+useReducer,"Zustand wins for simplicity; Jotai for atomic; RTK for large team"
03,server-state,TanStack Query,SWR | Apollo (GQL),"TanStack Query is canonical for REST/HTTP cache; SWR lighter; Apollo for GQL only"
04,forms,React Hook Form,Formik | TanStack Form,"RHF wins for performance + zod integration"
05,validation,Zod,Yup | Valibot,"Zod is canonical 2024+; TS-first; works with RHF"
06,styling,Tailwind CSS + cva,CSS Modules | styled-components,"Tailwind + cva (class-variance-authority) for variant systems"
07,components,shadcn/ui,Radix primitives raw | Headless UI,"shadcn copies-into-repo (no dep lock); Radix raw for max custom"
08,animation,Framer Motion,React Spring | GSAP,"Framer dominant; React Spring for physics-heavy"
09,testing,Vitest + Testing Library,Jest + Testing Library | Playwright (E2E),"Vitest faster than Jest in Vite projects"
10,build,Vite,Webpack | Parcel | esbuild raw,"Vite default 2024+; Webpack only for legacy"
