id,palette_name,primary,secondary,accent,neutral_dark,neutral_mid,neutral_light,error,warning,success,info,mood,wcag_aa_contrast_passing
01,Calm Slate,#3B82F6,#8B5CF6,#F59E0B,#0F172A,#64748B,#F1F5F9,#EF4444,#F59E0B,#10B981,#3B82F6,minimal,true
02,Warm Sunset,#F97316,#EAB308,#EC4899,#1C1917,#78716C,#FAFAF9,#DC2626,#F59E0B,#16A34A,#0EA5E9,energetic,true
03,Forest Editorial,#15803D,#A16207,#7C2D12,#0C1F0E,#52525B,#FAFAF9,#DC2626,#D97706,#16A34A,#0284C7,grounded,true
04,Midnight Tech,#3B82F6,#06B6D4,#A855F7,#020617,#475569,#E2E8F0,#F87171,#FBBF24,#34D399,#60A5FA,futuristic,true
05,Pastel Care,#F472B6,#A78BFA,#FBBF24,#3F3F46,#A1A1AA,#FAFAF9,#F87171,#FBBF24,#86EFAC,#7DD3FC,gentle,false
06,Mono Bold,#000000,#FFFFFF,#FF0000,#000000,#525252,#F5F5F5,#DC2626,#EAB308,#16A34A,#2563EB,brutalist,true
07,Ocean Depth,#0EA5E9,#0891B2,#06B6D4,#0C1F2D,#475569,#F0F9FF,#EF4444,#F59E0B,#10B981,#3B82F6,calm-deep,true
08,Earth Craft,#92400E,#A16207,#65A30D,#1C1917,#78716C,#FEF3C7,#DC2626,#D97706,#65A30D,#0EA5E9,artisan,true
09,Berry Editorial,#BE185D,#9333EA,#DB2777,#27272A,#71717A,#FAFAF9,#DC2626,#EAB308,#16A34A,#3B82F6,bold-warm,true
10,Mint Fresh,#10B981,#06B6D4,#34D399,#064E3B,#525252,#F0FDF4,#DC2626,#F59E0B,#16A34A,#0284C7,fresh,true
11,Royal Premium,#1E1B4B,#7C3AED,#FBBF24,#0F0E1A,#52525B,#FAFAF9,#DC2626,#EAB308,#16A34A,#3B82F6,premium,true
12,Coral Energy,#F97316,#FB7185,#FDE047,#27272A,#A1A1AA,#FFF7ED,#DC2626,#EAB308,#22C55E,#0EA5E9,playful,false
13,Cyber Neon,#A855F7,#22D3EE,#F472B6,#0A0A0A,#404040,#0F0F0F,#EF4444,#FBBF24,#22C55E,#3B82F6,neon-dark,true
14,Linen Soft,#A78BFA,#F472B6,#FBBF24,#3F3F46,#71717A,#FAFAF9,#EF4444,#F59E0B,#22C55E,#0EA5E9,soft-warm,false
15,Concrete Industrial,#525252,#737373,#F59E0B,#1C1917,#525252,#E5E5E5,#DC2626,#EAB308,#16A34A,#3B82F6,industrial,true
16,Lavender Editorial,#7C3AED,#A78BFA,#F472B6,#1F1F23,#52525B,#FAFAF9,#DC2626,#EAB308,#16A34A,#3B82F6,literary,true
17,Pumpkin Spice,#EA580C,#A16207,#92400E,#1C1917,#78716C,#FEF3C7,#DC2626,#D97706,#65A30D,#0EA5E9,seasonal,true
18,Arctic Minimal,#E0F2FE,#BAE6FD,#0EA5E9,#0C1F2D,#475569,#FFFFFF,#EF4444,#F59E0B,#10B981,#3B82F6,airy,true
19,Olive Studio,#65A30D,#84CC16,#A16207,#1A2E05,#52525B,#F7FEE7,#DC2626,#D97706,#65A30D,#0284C7,studio,true
20,Rose Quartz,#F43F5E,#EC4899,#A855F7,#27272A,#71717A,#FFF1F2,#DC2626,#F59E0B,#16A34A,#3B82F6,romantic,false
