id,layer,recommended,alternates,reasoning
01,framework,SvelteKit 2,Svelte 5 raw,"SvelteKit canonical for app; raw for components only"
02,routing,SvelteKit file-based,—,"Built-in"
03,state,Svelte 5 runes,Svelte stores (legacy) | Tanstack Store,"Runes default in Svelte 5; stores still work"
04,server-state,svelte-query (TanStack adapter),native fetch + load functions,"For client mutations; load functions cover SSR"
05,forms,sveltekit-superforms + Zod,Felte | native,"superforms+zod canonical; matches RHF+Zod ergonomics"
06,validation,Zod,Yup | Valibot,"Same Zod-everywhere pattern"
07,styling,Tailwind CSS,UnoCSS | scoped CSS,"Tailwind dominant; UnoCSS faster build"
08,components,Bits UI / Melt UI,shadcn-svelte | Skeleton,"Bits UI = Radix-equivalent for Svelte; shadcn-svelte ports the lib"
09,testing,Vitest + Playwright,—,"Native Svelte test integration"
10,deployment,Vercel | Cloudflare Pages,Netlify | self-host,"SvelteKit adapters for all major platforms"
