skill_name,category,type,phases,primary_agent,description
adversarial-review,reviews,simple,any,,Perform a cynical review and produce a findings report
edge-case-hunter,reviews,simple,any,,Walk every branching path and boundary condition to find unhandled edge cases
editorial-prose,reviews,simple,any,communicator,Clinical copy-editor that reviews text for communication issues
editorial-structure,reviews,simple,any,communicator,Structural editor that proposes cuts and reorganization
code-review,reviews,simple,6,qa,Review code changes with parallel review layers and structured triage
code-audit,reviews,simple,6,qa,Audit code for a completed story or scope and generate report
test-design,testing,workflow,6,qa,Create system-level or epic-level test plans
test-framework,testing,workflow,6,qa,Initialize test framework with Playwright or Cypress
atdd,testing,workflow,6,qa,Generate failing acceptance tests using TDD cycle
test-review,testing,simple,6,qa,Review test quality using best practices validation
ci-pipeline,testing,workflow,6,qa,Scaffold CI/CD quality pipeline with test execution
nfr-assessment,testing,workflow,6,qa,Assess NFRs like performance security and reliability
traceability,testing,simple,6,qa,Generate traceability matrix and quality gate decision
test-automation,testing,workflow,6,qa,Expand test automation coverage for codebase
teach-me-testing,testing,reference,any,qa,Teach testing progressively through 7 structured sessions
brainstorming,creative,workflow,"2,4,8",analyst,Facilitate brainstorming sessions using 60 creative techniques
design-thinking,creative,workflow,"2,4",analyst,Guide human-centered design processes using 29 methods
problem-solving,creative,workflow,"2,4,6",analyst,Apply systematic problem-solving using 29 frameworks
innovation-strategy,creative,workflow,"2,8",analyst,Identify disruption opportunities and architect business models
storytelling,creative,workflow,"4,8",communicator,Craft compelling narratives using 24 story types
presentation,creative,workflow,"4,8",communicator,Create presentations and visual communication
advanced-elicitation,utilities,simple,any,analyst,Push the LLM to reconsider and refine its recent output
distillator,utilities,simple,any,,Lossless LLM-optimized compression of source documents
shard-doc,utilities,simple,any,,Split large markdown documents into smaller organized files
index-docs,utilities,simple,any,,Generate or update an index.md for all docs in a folder
party-mode,utilities,simple,any,,Orchestrate group discussions between all agents
pdf-deep-parser,utilities,simple,any,,Deep analysis and structured extraction of PDF documents
document-project,utilities,workflow,8,communicator,Document brownfield projects for AI context
env-check,ops,simple,7,,Validate environment variables and secrets safety
dep-health-check,ops,simple,7,,Audit project dependencies for vulnerabilities
security-scan,ops,simple,7,,Run OWASP-informed security analysis
ci-cd-setup,ops,workflow,7,,Generate CI/CD pipeline configuration
db-migration-check,ops,simple,7,,Validate database migrations for safety
repo-structure-audit,ops,simple,any,,Scan repo for duplication and structural drift
agent-builder,meta,workflow,meta,valet,Build edit or analyze agent definitions
skill-builder,meta,workflow,meta,valet,Create and edit skill definitions
workflow-builder,meta,workflow,meta,valet,Build convert and analyze workflows
template-builder,meta,workflow,meta,valet,Create and edit document templates
propose-change,meta,simple,meta,valet,Formalize feedback as GitHub Issues/PRs on coldpress-os
quickstart,stack-packs/convex,workflow,1,,Initialize a new Convex project
setup-auth,stack-packs/convex,workflow,6,,Set up Convex authentication
create-component,stack-packs/convex,workflow,6,,Design and build Convex components
migration-helper,stack-packs/convex,workflow,6,,Plan and execute Convex migrations
performance-audit,stack-packs/convex,simple,8,,Audit Convex application performance
design-brief,lifecycle,workflow,5,ux-designer,Phase 5 entry skill — converts PRD + product-brief + personas + baselines into design brief covering content/voice/visual/platform; bridge-mode; entry-sync absorbed
ux-design,lifecycle,workflow,5,ux-designer,Phase 5 — UX design spec (IA + flows + screens + interaction patterns + responsive + a11y + tokens reference); persona-grounded; validated-distillate
brand-guidelines,lifecycle,workflow,5,ux-designer,Phase 5 — canonical brand-guidelines distillate (tokens + voice + tone + a11y rules + identity); auto-validates contrast vs a11y baseline
prototype,lifecycle,workflow,5,ux-designer,Phase 5 — archetype-shaped prototype artefacts (code-skeleton / mock-spec / clickable-html); embeds PRD acceptance-criteria; tech-stack imports verified
narrative,lifecycle,workflow,5,ux-designer,Phase 5 — narrative wrapper (delegates to skills/creative/storytelling); product story / persona scenarios / value-prop narrative / brand voice samples
legacy-ui-assessment,lifecycle,workflow,5,ux-designer,"Phase 5 conditional — assesses _input/legacy/ UI/design assets vs new design-brief; decisions: keep/refresh/discard/reference-only"
architecture-design,lifecycle,workflow,6,architect,Phase 6 — system architecture sacred-doc + sidecar + ADRs (incl. REQUIRED ADRs for Phase 5 flagged_for_architecture_ADR deltas — silent-divergence guard); first phase where PRD + UX-spec + brand-guidelines + tech-stack are all simultaneously available
breakdown-entry-sync,lifecycle,workflow,7,pm,Phase 7 entry skill — graph-first context load + architecture-deltas reconciliation pass at Phase 7 entry (forward-carry from Phase 6) + breakdown-scope memo emit; first real consumer of validate-prd --sections lightweight-amendment path
ci-pipeline,lifecycle,workflow,8,developer,Phase 8 — pre-Wave-1 CI pipeline setup (one-time per Q5; locks CI config sacred-ish)
test-framework,lifecycle,workflow,8,qa,Phase 8 — one-time test framework setup at phase entry; @qa Pattern 7 sub-transition #11a from @developer
test-design,lifecycle,workflow,8,qa,Phase 8 — per-story test strategy; reads story.test_coverage_targets; archetype-conditional discipline
atdd,lifecycle,workflow,8,qa,Phase 8 — per-story ATDD authoring; archetype-conditional (skip vibe-coder-lean per Q3); BDD scenarios from story.acceptance_criteria_or_bdd
qa-automation,lifecycle,workflow,8,qa,Phase 8 — per-wave automated test execution; coverage-target verification; surfaces implementation-deltas if test reveals gap
code-review,lifecycle,workflow,8,qa,Phase 8 — per-story code review with adversarial-review + edge-case-hunter wire-ins per Q6; @qa Pattern 7 sub-transition #11c (recurring per story)
wave-orchestration,lifecycle,workflow,8,developer,Phase 8 entry skill (per Q1) + orchestrator — Step 0 absorbs entry-sync (graph-first + ci-pipeline + test-framework dispatch + implementation-deltas WIP log init); subsequent steps drive wave-by-wave story execution per PERT chart
dev-story,lifecycle,workflow,8,developer,Phase 8 — per-story execution; reads story.archetype_granularity for behaviour per Q2; full dev path with ATDD-driven for standard / design-led / WDS archetypes
quick-dev,lifecycle,workflow,8,developer,Phase 8 — light dev path for vibe-coder-lean archetype per Q3; AC verification + smoke tests; no formal ATDD
readiness-check,lifecycle,workflow,9,devops,Phase 9 entry skill (per Q1) + meta-aggregator — Step 0 absorbs entry-sync; aggregates env-check + dep-health-check + security-scan + db-migration-check (conditional) into readiness-report distillate; used both pre-deploy and post-deploy
env-check,lifecycle,workflow,9,devops,Phase 9 — env vs baseline verification (DNS / SSL / env vars / secrets)
security-scan,lifecycle,workflow,9,devops,Phase 9 — wraps 5 classical + 3 LLM gates per existing security-gate.md spec; aggregated AggregateResult JSON consumed by phase-gate-evaluator
dep-health-check,lifecycle,workflow,9,devops,Phase 9 — dependency pinning + advisories check
db-migration-check,lifecycle,workflow,9,devops,Phase 9 conditional (brownfield only) — reads legacy-migration-plan-v{latest}; outputs migration-readiness report
deploy,lifecycle,workflow,9,devops,Phase 9 — deployment action skill; emits deploy-log validated-distillate; rollback procedure on failure
sprint-status,lifecycle,workflow,10,devops,Phase 10 entry skill (per Q1) + iterative orchestrator — Step 0 absorbs entry-sync (graph-first + 9th-consumer staleness + ops-deltas WIP log init); versioned per iteration as v{N}/v{N+1}/...
correct-course,lifecycle,workflow,10,devops,Phase 10 — three-trigger flow (incident response / bug triage / live-product friction adjustments per Q5); surfaces ops-deltas
document-project,lifecycle,workflow,10,devops,Phase 10 — post-deploy end-user-facing canonical project documentation per Q4 (READMEs / getting-started / API docs / tutorials); distinct from Phase 7 team-internal docs
retrospective,lifecycle,workflow,11,reviewer,Phase 11 entry skill (per Q1) — Step 0 absorbs entry-sync + ops-deltas reconciliation pass; cause analysis for accept_into_phase_11_retrospective deltas; problem_solving heavy (root_cause / five_whys / fishbone)
product-evolution,lifecycle,workflow,11,reviewer,Phase 11 — backlog of next-iteration improvements; consumes ops_deltas marked accept_into_phase_11_product_evolution
innovation-strategy,lifecycle,workflow,11,reviewer,Phase 11 — long-horizon strategic ideation post-launch; brainstorming heavy
changelog-generator,ops,simple,"9,10",devops,Keep-a-Changelog format generator from git history; conventional-commit categorisation (feat/fix/BREAKING); VC bump recommendation (patch/minor/major)
secrets-vault-manager,lifecycle,simple,9,devops,Phase 9 — committed-secret detection (regex set) + manifest-vs-env consistency + CI secret audit + rotation-due tracking; surface-only (no auto-rotate); CRITICAL findings block deploy
observability-designer,lifecycle,workflow,9,devops,Phase 9 — wraps observability-setup.md doc; emits SLO/SLI table + multi-window multi-burn-rate alerts + golden-signals dashboards + head+tail trace sampling; vendor-neutral
decision-logger,utilities,simple,"2,3,4,5,6,7,8,9,10,11",scrum-master,Lightweight ADR companion for non-architectural decisions; appends rows to _context/audit/decision-log.md (id/phase/question/decision/reasoning/reversibility/supersedes); Phase 11 retrospective consumes
diagram-creator,lifecycle,workflow,6,architect,Phase 6 — Mermaid (system-context/component/sequence/ER) + PlantUML (deployment/complex-sequences) emitter from architecture.md + ArchitectureComponent graph nodes; closes "no diagram emitter" gap
a11y-audit,reviews,workflow,"5,8",qa,WCAG 2.2 conformance audit; phases [5 8] dual-invocation; archetype-conditional severity (design-led/WDS=block; standard=warn; vibe-coder-lean=skip); Phase 5 contrast failures forward-carry as design-deltas
dependency-auditor,lifecycle,workflow,9,devops,Phase 9 — deeper than dep-health-check; CVE match (OSV/NVD/GitHub-Advisory) + supply-chain risk (typosquat/abandoned/maintainer) + license audit + 0-100 health score; complements dep-health-check (cheap-always vs deep-on-demand)
codebase-onboarding,lifecycle,workflow,1,analyst,Phase 1 conditional brownfield + on-demand re-orient; 3 artefacts (onboarding-tour/directory-map/entry-points-index); auto-detects language manifests; tech-stack hint feeds Phase 3
prompt-engineering,meta,workflow,meta,valet,Authoring-side prompt craft; 6-criterion best-practices checklist (concrete examples / output-format contracts / role-priming / refusal handling / chain-of-thought / input-state assumptions); applies forcing-function snippets
prompt-governance,meta,workflow,meta,valet,Review-side portfolio audit of all prompts; 4 finding categories (inconsistency / reuse-opportunity / anti-pattern / licensing); pairs with prompt-engineering as authoring+review couplet
incident-response,lifecycle,workflow,10,devops,Phase 10 — three sub-modes (in-flight timeline / post-mitigation postmortem / codify runbook); distinct from correct-course (process drift) and Phase 11 retrospective (multi-incident); pattern-match against priors at detection
seo-pack,stack-packs,pack,"3,5,8,9,10",architect,Engine-agnostic SEO discipline pack with 5 sub-skills (audit/content/schema/local/technical); invoked across Phase 3 (stack pick) / Phase 5 (content design) / Phase 8 (implementation) / Phase 9-10 (deploy + steady-state)
